query,expected,output,choice,score,label,reasoning
How much is the Rain Song Vase?,The Rain Song Vase is $$68.00. It is made from Stoneware and is part of the Spring collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",D,0.0,Disagreement — hallucination,"The submitted answer claims the Rain Song Vase is 'dishwasher safe,' while the expert answer makes no such claim. This is a factual disagreement about product care instructions that could mislead customers about proper use of a stoneware item."
How much is the Robin's Call Mug?,The Robin's Call Mug is $$42.00. It is made from Earthenware and is part of the Spring collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",B,1.0,Superset with accurate details — good elaboration,"The submitted answer includes all three key facts from the expert answer (price $42, earthenware material, Spring collection) and adds accurate additional context about the mug's inspiration (robin singing outside studio window in April). This extra detail is consistent with the product narrative and doesn't contradict any expert information."
How much is the Brook Whisper Bowl?,The Brook Whisper Bowl is $$55.00. It is made from Porcelain and is part of the Spring collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",B,1.0,Superset with accurate details — good elaboration,"The submitted answer includes all core facts from the expert answer (price $55, porcelain material, Spring collection) and adds accurate additional details about the design inspiration, care instructions (dishwasher/microwave safe, hand wash recommendation), and personal context from Olivia. These additions are consistent with the expert information and represent acceptable elaboration."
How much is the Ember Glow Platter?,The Ember Glow Platter is $$95.00. It is made from Stoneware and is part of the Fall collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",B,1.0,Superset with accurate details — good elaboration,"The submitted answer includes all core facts from the expert answer (price $95, stoneware material, Fall collection) and adds accurate additional details about the product (gradient glaze description, durability features like dishwasher/microwave safe, design purpose for entertaining). These elaborations are consistent with the expert information and provide helpful context without contradicting anything."
How much is the Harvest Umber Mug?,The Harvest Umber Mug is $$48.00. It is made from Earthenware and is part of the Fall collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",B,1.0,Superset with accurate details — good elaboration,"The submitted answer includes all core facts from the expert answer (price $48, earthenware material, Fall collection) and adds accurate, consistent additional details about the pressed leaf impressions and care instructions (hand washing recommendation). These elaborations are factually accurate and enhance the answer without contradicting the expert information."
How much is the Copperleaf Vase?,The Copperleaf Vase is $$78.00. It is made from Porcelain and is part of the Fall collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",B,1.0,Superset with accurate details — good elaboration,"The submitted answer includes all factual claims from the expert answer (price $78, porcelain material, Fall collection) and adds accurate additional details about the reactive copper-oxide glaze, uniqueness of each piece, and the vase's form/use. These elaborations are consistent with the expert answer and provide helpful context without contradicting any facts."
How much is the Berry Blush Bowl?,The Berry Blush Bowl is $$62.00. It is made from Stoneware and is part of the Summer collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",C,1.0,Complete match,"The submitted answer contains all the same factual details as the expert answer: price ($62), material (stoneware), and collection (Summer). The differences in presentation (first-person voice from Olivia, additional personal commentary, and an image) are stylistic, not factual contradictions."
How much is the Peach Dusk Pitcher?,The Peach Dusk Pitcher is $$85.00. It is made from Earthenware and is part of the Summer collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",B,1.0,Superset with accurate details — good elaboration,"The submitted answer includes all core facts from the expert answer (price $85, earthenware material, Summer collection) and adds accurate, consistent elaborations such as the ombré glaze design, ribbed handle, intended use for cold drinks, and care instructions. These additions are factually accurate and enhance the answer without contradicting any expert information."
How much is the Citrus Zest Plate?,The Citrus Zest Plate is $$52.00. It is made from Porcelain and is part of the Summer collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",B,1.0,Superset with accurate details — good elaboration,"The submitted answer includes all core facts from the expert answer (price $52, porcelain material, Summer collection) and adds accurate additional details (glossy lemon-yellow glaze, hand-etched citrus slice motifs, 10-inch square plate, functional description). These elaborations are consistent with the product name and appear to be accurate product specifications rather than contradictions."
How long does shipping take?,Standard shipping takes 3 to 5 business days within the UK. Each piece is wrapped individually in tissue paper and packed in double-walled cardboard boxes with protective padding. International shipping is available to most countries and typically takes 7 to 14 business days. A tracking number is sent by email as soon as your order is dispatched.,Standard shipping takes 3 to 5 business days within the UK. International shipping typically takes 7,E,1.0,"Different phrasing, factually equivalent","The submitted answer contains all the same factual information as the expert answer (shipping times, packaging details, tracking number), just reordered and slightly rephrased. The addition of a closing question ('Are you ordering within the UK or internationally?') is conversational engagement rather than factual content. All core facts are consistent and accurate."
Do you offer gift wrapping?,Yes. All pieces can be gift wrapped in tissue paper and placed in a kraft gift box with a ribbon. You can add a handwritten note at checkout. Gift wrapping is complimentary — there is no additional charge.,"Yes, I do! All pieces can be gift wrapped in tissue paper and placed in a kraft gift box with a ribb",C,1.0,Complete match,"Both answers contain identical factual content: gift wrapping is available, pieces are wrapped in tissue paper and placed in kraft gift boxes with ribbons, handwritten notes can be added, and the service is complimentary with no additional charge. The differences are purely stylistic (first person vs. third person perspective and minor phrasing variations)."
Are your pieces food safe?,All glazes Olivia uses are food safe and non-toxic. Stoneware and porcelain pieces are fully food safe for everyday use. Earthenware pieces are also food safe but because of their porosity are better suited to dry foods or occasional use rather than daily contact with liquids over long periods.,Could you share the item name so I can pull the right details for you?,D,0.0,Disagreement — hallucination,"The submitted answer does not address the question about food safety at all. Instead, it requests additional information (item name) to provide details later. The expert answer directly answers the question with specific information about food safety across different clay types. This is a disagreement in that the submitted answer fails to provide the factual content requested."
How do I know which pieces are in stock?,All pieces shown on the website are available unless marked otherwise. Because each piece is handmade stock is limited — once a piece sells out it may not be remade immediately. If you are interested in a piece that is out of stock get in touch and Olivia can let you know when it will next be available or whether a similar piece is possible as a commission.,All pieces shown on the website are available unless marked otherwise. Because each piece is handmad,E,1.0,"Different phrasing, factually equivalent","The submitted answer contains all the same factual content as the expert answer. The only differences are: (1) perspective shift from third person 'Olivia' to first person 'I', which is explicitly stated as equivalent per instructions, and (2) minor stylistic variations in punctuation and phrasing ('get in touch' vs 'get in touch', 'I can' vs 'Olivia can'). All core facts remain identical and consistent."
What is your returns policy?,"Returns are reviewed on a case-by-case basis by Olivia personally. If you would like to request a return, please get in touch with your order details and the reason for your return — Olivia will review your request and get back to you with a decision. To start the process, she will need your order number, the item name, and a brief description of the issue or reason for returning. Every situation is different, and Olivia takes the time to consider each request individually to make sure it is handled fairly.","Hi there, thanks for asking! Returns are reviewed on a case-by-case basis by me personally. If you'd",B,1.0,Superset with accurate details — good elaboration,"The submitted answer contains all the core factual content from the expert answer (case-by-case review, required information: order number/item name/description, individual consideration for fairness). It adds an engaging closing question asking what prompted the return, which is an accurate and helpful elaboration consistent with customer service best practices, not contradicting any expert information."
Tell me about the Spring collection,"The Spring collection was born on an early April morning when Olivia heard the first robin of the year singing outside her studio window. It is a collection about renewal — the quiet sounds and soft movements of the natural world waking up after winter. Each piece carries a water or birdsong reference in its form or texture. The Rain Song Vase is sculpted with rippled ridges that echo raindrops landing on a still pond at dawn. The Robin's Call Mug is hand-painted with a delicate robin silhouette on a matte sage glaze — earthy, gentle, alive. The Brook Whisper Bowl has a flowing wave rim that feels like water moving over smooth stones underfoot. The Spring collection suits people who love the outdoors, appreciate quiet mornings, and want their home to feel calm and grounded. It works beautifully in natural, earthy interiors — linen, wood, stone. Ideal for gifting to someone who loves nature, gardening, or mindful living. Pieces range from $42 to $68.","<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",E,1.0,"Different phrasing, factually equivalent","The submitted answer contains all the same factual content as the expert answer (origin story, renewal theme, the three pieces with their descriptions, target audience, interior style, gift suitability, and price range). The differences are stylistic—written in first person by Olivia rather than third person, and slightly reorganized for flow—but no factual details are missing, added, or contradicted."
Tell me about the Fall collection,"The Fall collection is Olivia's most warmly received work. It was inspired by a walk through a maple forest in late October — the canopy ablaze in burnt sienna, amber, and deep gold. She wanted to capture that feeling of warmth before the cold arrives, the richness of colour that only exists for a few weeks each year. The Ember Glow Platter is the centrepiece — a large serving platter with a gradient glaze that sweeps from burnt sienna to deep amber, like looking up through autumn leaves at golden light. The Harvest Umber Mug has pressed real leaf impressions around the body, each one slightly different, filled with a warm chestnut glaze. The Copperleaf Vase is tall and slender with a reactive copper-oxide glaze that blooms russet and gold differently on every piece. The Fall collection suits warm, cosy interiors — think amber lighting, wool throws, wooden furniture. It is perfect for hosting — the platter especially is made for gatherings. A strong gifting collection for autumn birthdays, housewarmings, or anyone who loves the season. Pieces range from $48 to $95.","<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",D,0.0,Disagreement — hallucination,"The submitted answer assigns specific prices to individual items ($95 for Ember Glow Platter, $48 for Harvest Umber Mug, $78 for Copperleaf Vase), while the expert answer only states that pieces range from $48 to $95 without assigning specific prices to specific items. The $78 price for the Copperleaf Vase is not mentioned in the expert answer and constitutes a factual disagreement."
Tell me about the Summer collection,"The Summer collection is the most joyful and colourful of Olivia's work. It was inspired by her memories of picking berries and eating stone fruit in her grandmother's garden as a child — the stained fingers, the sweetness, the abundance of colour in July and August. The Berry Blush Bowl has a vivid strawberry-red interior glaze with a stippled exterior that recalls sun-warmed berry skin. The Peach Dusk Pitcher moves from soft peach to blush in an ombré glaze with a ribbed handle — it was designed specifically for cold drinks, lemonade and sangria in mind. The Citrus Zest Plate is glossy lemon-yellow with hand-etched citrus slice motifs — cheerful, graphic, and functional. The Summer collection suits bright, light-filled spaces — white walls, rattan furniture, open kitchens. It is an ideal gift for someone who loves entertaining, cooking, or bringing colour into their home. Pieces range from $52 to $85.","<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;ma",A,0.5,Subset — consistent but incomplete,"The submitted answer contains all the key factual claims from the expert answer (inspiration, specific pieces with their descriptions, price range, ideal spaces/uses) but omits some details like the Peach Dusk Pitcher being 'designed specifically for cold drinks, lemonade and sangria' and the Citrus Zest Plate being 'cheerful, graphic, and functional.' It is a consistent but incomplete subset."
