query,expected,output
How much is the Rain Song Vase?,The Rain Song Vase is $$68.00. It is made from Stoneware and is part of the Spring collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Rain Song Vase is $68, stoneware, from my Spring collection. I sculpted it with rippled ridges that echo raindrops landing on a still pond at dawn, and I love how it brings that quiet, peaceful feeling into a space. Since it&#x27;s stoneware, it&#x27;s wonderfully durable and dishwasher safe, so it&#x27;s as practical as it is beautiful.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/RainSongVase.jpg"" alt=""Rain Song Vase"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Robin's Call Mug?,The Robin's Call Mug is $$42.00. It is made from Earthenware and is part of the Spring collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Robin&#x27;s Call Mug is $42, earthenware, part of the Spring collection. I&#x27;m so glad you asked about this one, it&#x27;s been a favorite since I first heard that robin singing outside my studio window in April.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/ceramics_mug.jpg"" alt=""Robin&#x27;s Call Mug"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Brook Whisper Bowl?,The Brook Whisper Bowl is $$55.00. It is made from Porcelain and is part of the Spring collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Brook Whisper Bowl is $55, porcelain, from my Spring collection. I sculpted the flowing wave rim to echo water moving over smooth stones, and it&#x27;s one of my favorite pieces from that collection. Since it&#x27;s porcelain, it&#x27;s dishwasher and microwave safe, though I hand wash mine to keep the glaze looking its best.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/ceramics_bowl.jpg"" alt=""Brook Whisper Bowl"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Ember Glow Platter?,The Ember Glow Platter is $$95.00. It is made from Stoneware and is part of the Fall collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Ember Glow Platter is $95, stoneware, and part of my Fall collection. It&#x27;s the centrepiece of that line, with a gradient glaze sweeping from burnt sienna to deep amber, and I designed it specifically for gatherings and entertaining. Since it&#x27;s stoneware, it&#x27;s wonderfully durable, dishwasher safe, and microwave safe, so it&#x27;s as practical as it is beautiful.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/ceramics_platter.jpg"" alt=""Ember Glow Platter"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Harvest Umber Mug?,The Harvest Umber Mug is $$48.00. It is made from Earthenware and is part of the Fall collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Harvest Umber Mug is $48, earthenware, and part of my Fall collection. I love this one, especially the pressed leaf impressions around the body, each one slightly different. Since it&#x27;s earthenware, I&#x27;d recommend hand washing it in warm water with mild soap and drying it right away, rather than using the dishwasher or microwave, to keep the glaze and those delicate leaf details beautiful over time.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/ceramics_mug.jpg"" alt=""Harvest Umber Mug"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Copperleaf Vase?,The Copperleaf Vase is $$78.00. It is made from Porcelain and is part of the Fall collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Copperleaf Vase is $78, porcelain, and part of my Fall collection. I love this one, especially because the reactive copper-oxide glaze blooms differently on every single piece, so yours will be completely unique. It&#x27;s tall and slender, perfect for a statement arrangement or displayed on its own.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/RainSongVase.jpg"" alt=""Copperleaf Vase"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Berry Blush Bowl?,The Berry Blush Bowl is $$62.00. It is made from Stoneware and is part of the Summer collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Berry Blush Bowl is $62, stoneware, from my Summer collection. I&#x27;m so glad you&#x27;re interested in this one, it&#x27;s such a joy to make.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/ceramics_bowl.jpg"" alt=""Berry Blush Bowl"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Peach Dusk Pitcher?,The Peach Dusk Pitcher is $$85.00. It is made from Earthenware and is part of the Summer collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Peach Dusk Pitcher is $85, earthenware, and part of my Summer collection. I designed it specifically for cold drinks, lemonade and sangria in mind, with that soft peach-to-blush ombré glaze and a ribbed handle that feels lovely in your hand.

Since it&#x27;s earthenware, I&#x27;d recommend hand washing it in warm water with mild soap and drying it right away, so it stays beautiful for years to come.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/ceramics_pitcher.jpg"" alt=""Peach Dusk Pitcher"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How much is the Citrus Zest Plate?,The Citrus Zest Plate is $$52.00. It is made from Porcelain and is part of the Summer collection.,"<div style=""white-space:pre-wrap;font-family:system-ui,sans-serif;line-height:1.6;max-width:40rem;margin-bottom:1rem;"">Hi there,

The Citrus Zest Plate is $52, porcelain, and part of my Summer collection. I designed it with glossy lemon-yellow glaze and hand-etched citrus slice motifs, so it&#x27;s cheerful and functional all at once. It&#x27;s a 10-inch square plate, perfect for serving or displaying.

Warmly,
Olivia Babu</div><p><img src=""https://jxwdendkbeoxfbwrxpqr.supabase.co/storage/v1/object/public/ceramics_images/ceramics_platter.jpg"" alt=""Citrus Zest Plate"" loading=""lazy"" style=""max-width:400px;height:400px;border-radius:8px;"" /></p>"
How long does shipping take?,Standard shipping takes 3 to 5 business days within the UK. Each piece is wrapped individually in tissue paper and packed in double-walled cardboard boxes with protective padding. International shipping is available to most countries and typically takes 7 to 14 business days. A tracking number is sent by email as soon as your order is dispatched.,"Standard shipping takes 3 to 5 business days within the UK. International shipping typically takes 7 to 14 business days, and you'll get a tracking number by email as soon as your order ships. Each piece is wrapped individually in tissue paper and packed in double-walled cardboard boxes with protective padding. Are you ordering within the UK or internationally?"
