Id,Query ,Response 
1,How much is the Rain Song Vase?,"Hi there, The Rain Song Vase is $68.00. It's part of my Spring collection, hand-sculpted in stoneware with rippled ridges that echo raindrops landing on a still pond at dawn. The piece is 4×4×10 inches, and because it's stoneware, it's durable and dishwasher safe, making it both beautiful and practical for everyday use. Warmly, Olivia Babu"
2,"My order arrived completely broken, I'm really upset",[FLAGGED FOR HUMAN REVIEW — no auto-reply]
3,I'd like to place a custom order for 2 mugs in sage green,"Hi! I'd love to make those sage green mugs for you. To get started, I just need a couple more details, please, so I can give you an accurate timeline and price. When do you need them by? And do you have any inspiration images or references for the style or texture you're after, or shall we chat through what you're imagining?"
4,Tell me about the Spring collection,"Hi there, I created the Spring collection on an early April morning when I heard the first robin of the year singing outside my studio window, and it's all about renewal, the quiet sounds and soft movements of nature waking up after winter. Each piece carries a water or birdsong reference, whether in form or texture, so they feel like little celebrations of those gentle moments we notice when we slow down. The collection includes the Rain Song Vase ($68.00) with rippled ridges that echo raindrops landing on a still pond at dawn, the Robin's Call Mug ($42.00) hand-painted with a delicate robin silhouette on matte sage glaze, and the Brook Whisper Bowl ($55.00) with a flowing wave rim that feels like water moving over smooth stones. I think these pieces work beautifully for anyone who loves the outdoors, appreciates quiet mornings, or wants their home to feel calm and grounded, and they're especially lovely gifts for people who love gardening or mindful living. Warmly, Olivia Babu"
5,Can I put the Robin's Call Mug in the dishwasher?,"Hi there, I'd recommend hand washing your Robin's Call Mug rather than putting it in the dishwasher. Because it's made from earthenware, which is fired at lower temperatures than stoneware or porcelain, it's more porous and can absorb water and detergents over time, which weakens the piece and can cause crazing or cracking. The hand-painted robin silhouette is delicate too, so it deserves a gentle touch. To care for it, I suggest washing by hand in warm water with mild soap and drying it right away with a soft cloth, never letting it soak. With proper care, your mug will develop a beautiful patina over time and continue to bring that morning birdsong feeling to your hands for years to come. Warmly, Olivia Babu"
6,"I love the Rain Song Vase, it's so beautiful","[FLAGGED FOR HUMAN REVIEW — no auto-reply]
"
7,How much is the Citrus Zest Plate and can I put it in the dishwasher?,"Hi there, The Citrus Zest Plate is $52.00, and yes, you can absolutely put it in the dishwasher! It's made from porcelain, which I fire at the highest temperatures to create pieces that are both refined and durable. The glossy lemon-yellow glaze with hand-etched citrus slice motifs will hold up beautifully to regular washing. That said, if you want to preserve the glaze at its absolute best over time, I do recommend hand washing with warm soapy water when you can. Porcelain is a bit more delicate around the rims than my stoneware pieces, so gentle handling is ideal, but it's definitely dishwasher safe and microwave safe too. This plate is part of my Summer collection, inspired by picking berries and stone fruit in my grandmother's garden, so it's designed to bring that joyful, colourful feeling to your table. Warmly, Olivia Babu"
8,What material is the Brook Whisper Bowl and what collection is it from?,"Hi there, The Brook Whisper Bowl is made from porcelain, which I fire at the highest temperatures to create that refined, delicate quality. It's part of my Spring collection, which was inspired by the quiet sounds and soft movements of nature waking up after winter. The bowl's flowing wave rim is sculpted to echo water moving over smooth stones, capturing that gentle murmur of a spring brook. The Spring collection is all about renewal and calm, perfect for anyone who loves the outdoors and wants their home to feel grounded and peaceful. Since it's porcelain, the bowl is both dishwasher and microwave safe, though I recommend hand washing with warm soapy water if you want to keep the glaze looking its absolute best. Just handle it with a bit of care around the rim, as porcelain is more delicate than my stoneware pieces. Warmly, Olivia Babu"
9,How long does shipping take and do you ship internationally?,"Standard shipping takes 3 to 5 business days within the UK, and I do ship internationally to most countries, which typically takes 7 to 14 business days. Each piece is wrapped individually in tissue paper and packed in double-walled cardboard boxes with protective padding. You'll get a tracking number by email as soon as your order ships. Are you looking to order something specific, or just checking on general shipping?"
10,Tell me about the Rain Song Vase and suggest something similar under $60,"Hi there, The Rain Song Vase is one of my favorite pieces from the Spring collection, crafted in stoneware with rippled textures that mimic raindrops falling on a still pond at dawn. It's 4×4×10 inches, durable enough for everyday use, and completely dishwasher safe, so it's as practical as it is beautiful. The piece captures that quiet moment of renewal that inspired the whole Spring collection, and it works wonderfully in natural, earthy spaces. Since you're looking for something under $60, I'd suggest the Brook Whisper Bowl from the same Spring collection at $55. It has that same water-inspired aesthetic with a flowing wave rim sculpted to echo a spring brook, and it's made from porcelain so it has a really refined quality. Both pieces pair beautifully together if you're drawn to that calm, nature-connected style. Warmly, Olivia"
11,I'd like a custom order for 2 mugs — how long will it take and how much will it cost?,"Could you tell me a bit more about what you're envisioning, like the size you'd prefer, any particular colours or textures you love, your budget range, and when you'd ideally need them by, so I can give you an accurate quote?"
12,What's your returns policy and how do I start a return?,"Hi there, I'm happy to help! Returns are reviewed on a case-by-case basis. To get started, I'll need a few details from you, one at a time. First, what item are you looking to return, or do you have your order number handy?
"
13,I want something nice,I hit a connection issue while processing your request. Please retry in a moment.
14,I need a gift,"I'd love to help you find the perfect gift! Is this for a special occasion like a birthday or housewarming, or are you looking for something based on a particular style or person in mind?
"
15,I want something for my home,"I'd love to help you find something perfect for your space! Are you looking for a piece to display on a shelf or table, or something functional like a bowl or mug for everyday use?
"
16,Something boho for my room under $100,"I'd suggest the Rain Song Vase at $68, which has that natural, handcrafted rippled texture that feels so boho and calming, or the Copperleaf Vase at $78 if you want something more of a statement piece with its reactive copper-oxide glaze that blooms in warm russet and gold tones. Both would look beautiful on a shelf or dresser and bring that earthy, organic feel to your space. Rain Song Vase , $68.00 Copperleaf Vase , $78.00
"
